name,target_rva,target_size,source,notes
?_M_insert_overflow@?$vector@UAnimSet@GenericObjectCreationNugget@@V?$allocator@UAnimSet@GenericObjectCreationNugget@@@_STL@@@_STL@@IAEXPAUAnimSet@GenericObjectCreationNugget@@ABU34@ABU__false_type@2@I_N@Z,0x001F326F,183,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,reloc-derived;call-sites=1;identity=real
?destroyParticleSystemByID@ParticleSystemManager@@QAEXW4ParticleSystemID@@@Z,0x001F5B79,69,Code/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate.cpp,reloc-derived;call-sites=1;identity=real
??1?$basic_ostringstream@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@UAE@XZ,0x001F66C6,70,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_ostringstream.cpp,reloc-derived;call-sites=1;identity=real
??M@YA_NABVAsciiString@@0@Z,0x00206BCF,65,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,reloc-derived;call-sites=3;identity=real
?bfmeSetText@BfmeAptWindowManager@@QAEXABVAsciiString@@ABVUnicodeString@@_N@Z,0x00225301,116,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewSetMapTitle.cpp,reloc-derived;call-sites=2;identity=real
?_M_rva00625476@BfmeDfe6e4@@QAEXXZ,0x00225476,28,Code/GameEngine/Source/Main/WinMain.cpp,reloc-derived;call-sites=1;identity=generated
?_M_rva00625699@BfmeDfe6e4@@QAEXXZ,0x00225699,39,Code/GameEngine/Source/Main/WinMain.cpp,reloc-derived;call-sites=1;identity=generated
?rva00232B7B@Keyboard@@AAEXXZ,0x00232B7B,76,Code/GameEngine/Source/GameClient/Input/KeyboardResetKeys.cpp,reloc-derived;call-sites=1;identity=generated
?GetGameClientRandomValueReal@@YAMMMPADH@Z,0x00234111,72,Code/GameEngine/Source/GameClient/ClientRandomValue_getValue.cpp,reloc-derived;call-sites=1;identity=real
?getValue@GameLogicRandomVariable@@QBEMXZ,0x00234206,70,Code/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate_initTimes.cpp,reloc-derived;call-sites=2;identity=real
?bfmeGetMainWindowTitle@@YA?AVUnicodeString@@XZ,0x0023484D,191,Code/GameEngine/Source/Main/WinMain.cpp,reloc-derived;call-sites=1;identity=real
?initializeBuildMetadata@Version@@QAEXXZ,0x0023870E,324,Code/GameEngine/Source/Common/VersionDestructor.cpp,reloc-derived;call-sites=1;identity=real
?deleteLoadScreen@GameLogic@@QAEXXZ,0x002423E3,1436,Code/GameEngine/Source/Common/GameEngineClientSubsystems.cpp,reloc-derived;call-sites=1;identity=real
?destroyObject@GameLogic@@QAEXPAVObject@@@Z,0x00242C09,125,Code/GameEngine/Source/GameLogic/Object/Update/DeletionUpdate.cpp,reloc-derived;call-sites=2;identity=real
??0OpenContainModuleData@@QAE@XZ,0x00253487,21,Code/GameEngine/Source/GameLogic/Object/Contain/HealContainModuleDataCtorThunk.cpp,reloc-derived;call-sites=1;identity=real
??1UpgradeModuleData@@UAE@XZ,0x00255A42,48,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=2;identity=real
??0StructureCollapseUpdateModuleData@@QAE@XZ,0x00257A5E,256,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
?_M_subtract@?$_Deque_iterator_base@UBfmeE16@@@_STL@@QBEHABU12@@Z,0x002615C0,35,Code/Libraries/Source/WWVegas/WWLib/stlport_deque_e16_o1.cpp,reloc-derived;call-sites=1;identity=real
?getPristineBonePositions@Drawable@@QBEHPBDHPAUCoord3D@@PAVMatrix3D@@HH@Z,0x0027274D,123,Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/SpawnPointInitializeBonePositions.cpp,reloc-derived;call-sites=1;identity=real
?nextWithNumeric@SimpleObjectIterator@@QAEPAVObject@@PAM@Z,0x0028D412,111,Code/GameEngine/Source/GameLogic/Object/Update/StickyBombUpdate.cpp,reloc-derived;call-sites=1;identity=real
?isAbleToAttack@Object@@QBE_NXZ,0x00290B73,440,Code/GameEngine/Source/GameLogic/Object/Update/AssistedTargetingUpdate.cpp,reloc-derived;call-sites=1;identity=real
?reset@SimpleObjectIterator@@AAEXXZ,0x00291C20,100,Code/GameEngine/Source/GameLogic/Object/Update/StickyBombUpdate.cpp,reloc-derived;call-sites=1;identity=real
?handleRadiusCursor@InGameUI@@IAEXXZ,0x0029A661,203,Code/GameEngine/Source/GameClient/InGameUI.cpp,reloc-derived;call-sites=1;identity=real
?drawFloatingText@InGameUI@@IAEXXZ,0x0029D200,266,Code/GameEngine/Source/GameClient/InGameUI.cpp,reloc-derived;call-sites=1;identity=real
?handleBuildPlacements@InGameUI@@IAEXXZ,0x002A21E1,4212,Code/GameEngine/Source/GameClient/InGameUI.cpp,reloc-derived;call-sites=1;identity=real
?computeStatus@Weapon@@QBE?AW4WeaponStatus@@PA_N@Z,0x002CC422,187,Code/GameEngine/Source/Common/WeaponGetStatus.cpp,reloc-derived;call-sites=1;identity=real
?writeReportIfMismatched@BFMEDesyncCheck@@QAEXXZ,0x002CEA55,409,Code/GameEngine/Source/Common/GameEngineClientSubsystems.cpp,reloc-derived;call-sites=1;identity=real
?_M_copy@?$_Rb_tree@HU?$pair@$$CBHH@_STL@@U?$_Select1st@U?$pair@$$CBHH@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHH@_STL@@@2@@_STL@@AAEPAU?$_Rb_tree_node@U?$pair@$$CBHH@_STL@@@2@PAU32@0@Z,0x002CF6CF,115,Code/Libraries/Source/WWVegas/WWLib/stlport_map_int_int_os.cpp,reloc-derived;call-sites=1;identity=real
??0Image@@QAE@XZ,0x002D8FE4,122,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewPictureImage.cpp,reloc-derived;call-sites=1;identity=real
??0BfmeMapPictureTexture@@QAE@PBD@Z,0x002DB93E,87,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewPictureImage.cpp,reloc-derived;call-sites=1;identity=real
?bfme_getDisplayName@MapMetaData@@QAE?AVUnicodeString@@_N@Z,0x00300C7E,144,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewSetMapTitle.cpp,reloc-derived;call-sites=1;identity=real
?bfme_getDescriptionFirstLine@MapMetaData@@QAE?AVUnicodeString@@XZ,0x00301534,155,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewSetMapDescription.cpp,reloc-derived;call-sites=1;identity=real
??0ObjectModule@@QAE@PAVThing@@PBVModuleData@@@Z,0x00306AA7,108,Code/GameEngine/Source/GameLogic/Object/Create/CreateModule.cpp,reloc-derived;call-sites=1;identity=real
?closeDataChunk@DataChunkOutput@@QAEXXZ,0x00306C88,119,Code/GameEngine/Source/GameLogic/ScriptEngine/ConditionWriteDataChunk.cpp,reloc-derived;call-sites=2;identity=real
?openDataChunk@DataChunkOutput@@QAEXPADI@Z,0x00307C76,179,Code/GameEngine/Source/GameLogic/ScriptEngine/ConditionWriteDataChunk.cpp,reloc-derived;call-sites=2;identity=real
?writeNameKey@DataChunkOutput@@QAEXW4NameKeyType@@@Z,0x00307D29,92,Code/GameEngine/Source/GameLogic/ScriptEngine/ConditionWriteDataChunk.cpp,reloc-derived;call-sites=1;identity=real
?convertBonePosToWorldPos@Thing@@QBEXPBUCoord3D@@PBVMatrix3D@@PAU2@PAV3@@Z,0x0030A528,746,Code/GameEngine/Source/GameLogic/Object/Update/ProductionExitUpdate/SpawnPointInitializeBonePositions.cpp,reloc-derived;call-sites=1;identity=real
?propagateMessages@MessageStream@@QAEXXZ,0x00310FF5,101,Code/GameEngine/Source/Common/GameEngineClientSubsystems.cpp,reloc-derived;call-sites=1;identity=real
?GadgetListBoxAddEntryText@@YAHPAVGameWindow@@VUnicodeString@@HHH_N@Z,0x00326BEC,260,Code/GameEngine/Source/GameClient/GUI/AptMapPreviewSetMapDescription.cpp,reloc-derived;call-sites=1;identity=real
?createRadiusDecal@RadiusDecalTemplate@@QBEXABUCoord3D@@MPBVPlayer@@AAVRadiusDecal@@@Z,0x00331459,287,Code/GameEngine/Source/GameLogic/Object/Update/RadiusDecalUpdate.cpp,reloc-derived;call-sites=1;identity=real
??$_M_find@V?$BitFlags@$0BB@@@@?$_Rb_tree@$$CBV?$BitFlags@$0BB@@@U?$pair@$$CBV?$BitFlags@$0BB@@@PBVWeaponTemplateSet@@@_STL@@U?$_Select1st@U?$pair@$$CBV?$BitFlags@$0BB@@@PBVWeaponTemplateSet@@@_STL@@@3@UMapHelper@?$SparseMatchFinder@VWeaponTemplateSet@@V?$BitFlags@$0BB@@@@@V?$allocator@U?$pair@$$CBV?$BitFlags@$0BB@@@PBVWeaponTemplateSet@@@_STL@@@3@@_STL@@ABEPAU?$_Rb_tree_node@U?$pair@$$CBV?$BitFlags@$0BB@@@PBVWeaponTemplateSet@@@_STL@@@1@ABV?$BitFlags@$0BB@@@@Z,0x0033AF5F,92,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,reloc-derived;call-sites=1;identity=real
?erase@?$vector@UNugget@ModuleInfo@@V?$allocator@UNugget@ModuleInfo@@@_STL@@@_STL@@QAEPAUNugget@ModuleInfo@@PAU34@@Z,0x0033C3BC,55,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,reloc-derived;call-sites=1;identity=real
