name,export_rva,target_rva,target_size,source,status,notes
?pbackfail@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEGG@Z,,0x00013960,7,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_streambuf.cpp,matched,STLport 4.5.3 wide streambuf base default - slot 9 - returns eof with or ax 0xFFFF / ret 4. Folded with overflow which slot 12 holds at the same address. Found by reading the wide streambuf vtable against the filebuf vtable that overrides it
?imbue@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@MAEXABVlocale@2@@Z,,0x00180FD0,3,Code/Libraries/Source/WWVegas/WWLib/stlport_wide_streambuf.cpp,matched,STLport 4.5.3 wide streambuf base default - slot 13 - does nothing; ret 4. Found by reading the wide streambuf vtable against the filebuf vtable that overrides it
?underflow@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@MAEHXZ,,0x0013B5E0,4,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_streambuf_defaults.cpp,matched,STLport 4.5.3 narrow streambuf base underflow - slot 7 of the narrow streambuf vtable. Returns eof which for char_traits<char> is the int -1 so the body is or eax -1 / ret. Hand-written because basic_streambuf<char> is an explicit specialisation in the vendored headers and cannot be instantiated
?pbackfail@?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@MAEHH@Z,,0x0001CA70,6,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_streambuf_defaults.cpp,matched,STLport 4.5.3 narrow streambuf base pbackfail - slot 9 of the narrow streambuf vtable. or eax -1 / ret 4. Slot 12 holds the same address so overflow folded onto it
?compareRange@@YAHPBDH0HUCharCompare@@@Z,,0x00005816,43,Code/Libraries/Source/WWVegas/WWLib/string_base_compare_range.cpp,matched,WWLib narrow string comparison worker behind StringBase<char>::compare and PooledString::compare. The cmovge that blocked it needs /arch:SSE - no /G or /O flag produces a conditional move in cl 13.10
?compareRangeNoCase@@YAHPBDH0HUCharCompare@@@Z,,0x00005841,44,Code/Libraries/Source/WWVegas/WWLib/string_base_compare_range.cpp,matched,The _memicmp twin of 0x00005816 - same body and same /arch:SSE requirement
?getIdNoCase@PooledString@@QBEIXZ,0x0060B820,0x0060B820,11,Code/GameEngine/Source/Common/System/pooled_string_nocase.cpp,matched,PooledString case-folded alias accessor - selects the alias with cmovne which cl 13.10 emits only under /arch:SSE. Split out of PooledString.cpp because the rest of that unit matches at plain /O1
?isEqualNoCase@PooledString@@QBE_NABV1@@Z,0x0060B82B,0x0060B82B,36,Code/GameEngine/Source/Common/System/pooled_string_nocase.cpp,matched,getIdNoCase inlined twice and compared - blocked behind the same cmovne and lands with it
??0_Loc_init@ios_base@_STL@@QAE@XZ,,0x0000F740,37,Code/Libraries/Source/WWVegas/WWLib/stlport_loc_init.cpp,matched,STLport 4.5.3 classic-locale initialisation guard. The banked body was already byte-exact - the eight bytes recorded as differing were the two unresolved REL32 displacements and nothing else. Pinning the two callees by address closed it
?compareRange@@YAHPBGH0HUWideCharCompare@@@Z,,0x0000586D,43,Code/Libraries/Source/WWVegas/WWLib/string_base_compare_range.cpp,matched,WWLib wide string comparison worker behind StringBase<wchar_t>::compare. Same shape as the narrow pair but it reads the trait object: ecx holds its address at the call so the comparison is a member of the trait rather than memcmp
?compareRangeNoCase@@YAHPBGH0HUWideCharCompare@@@Z,,0x00005898,43,Code/Libraries/Source/WWVegas/WWLib/string_base_compare_range.cpp,matched,The case-folded twin of 0x0000586D - identical body calling the other trait member
?Get_DX8_Patch_Edge_Style_Name@DX8Wrapper@@SAPBDI@Z,,0x0011F120,32,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper_names.cpp,matched,DX8Wrapper enum-to-string helper; the TU needs /G7 so cl emits an add of -1 rather than dec eax before the switch bounds check
?Get_DX8_Debug_Monitor_Token_Name@DX8Wrapper@@SAPBDI@Z,,0x0011F140,32,Code/Libraries/Source/WWVegas/WW3D2/dx8wrapper_names.cpp,matched,DX8Wrapper enum-to-string helper; the TU needs /G7 so cl emits an add of -1 rather than dec eax before the switch bounds check
